0: f-arabic:	[388: f-mandarin (0.85486436092)]	[214: f-german (0.853046371361)]	[466: f-portuguese (0.852571603814)]	[443: m-polish (0.851850352364)]	[266: m-italian (0.849391917444)]	[655: m-spanish (0.848949883933)]	[514: f-russian (0.847720781125)]	[38: m-arabic (0.847177913415)]	[173: f-french (0.84676065418)]	[401: m-mandarin (0.844714583698)]	
337: m-korean:	[606: m-spanish (0.867362618181)]	[375: f-mandarin (0.823455736645)]	[377: f-mandarin (0.82296984441)]	[617: m-spanish (0.819764530359)]	[142: m-dutch (0.819448836993)]	[372: f-mandarin (0.818901147646)]	[571: f-spanish (0.816483875612)]	[445: m-polish (0.8149963233)]	[37: m-arabic (0.813648542504)]	[291: m-japanese (0.810436498907)]	
338: m-korean:	[663: m-spanish (0.86263463354)]	[689: m-turkish (0.846309254455)]	[638: m-spanish (0.841059271766)]	[132: m-dutch (0.840875502574)]	[606: m-spanish (0.839557040484)]	[365: m-macedonian (0.829233724082)]	[418: m-mandarin (0.827857744919)]	[598: m-spanish (0.822789182187)]	[75: m-arabic (0.815916152082)]	[237: m-german (0.815681026095)]	
339: m-korean:	[45: m-arabic (0.847811983862)]	[34: m-arabic (0.832190768346)]	[663: m-spanish (0.830709252335)]	[77: m-arabic (0.82988555215)]	[417: m-mandarin (0.829059290855)]	[65: m-arabic (0.82517030195)]	[273: m-italian (0.822088681051)]	[698: m-turkish (0.821999858236)]	[598: m-spanish (0.821216966012)]	[159: f-french (0.820112145531)]	
340: m-korean:	[54: m-arabic (0.857599662879)]	[615: m-spanish (0.833835013912)]	[598: m-spanish (0.822001675582)]	[179: m-french (0.820920061647)]	[538: m-russian (0.820091066884)]	[489: m-portuguese (0.817344990307)]	[57: m-arabic (0.817292814014)]	[101: m-cantonese (0.813863101927)]	[418: m-mandarin (0.813305206518)]	[132: m-dutch (0.812446188515)]	
341: f-macedonian:	[502: f-russian (0.893949709678)]	[342: f-macedonian (0.890627458726)]	[390: f-mandarin (0.889387466266)]	[468: f-portuguese (0.885452270194)]	[351: f-macedonian (0.87972459122)]	[534: m-russian (0.876727234)]	[451: m-polish (0.875988182756)]	[398: f-mandarin (0.875910574853)]	[6: f-arabic (0.875720631087)]	[247: f-italian (0.874734113974)]	
342: f-macedonian:	[108: f-dutch (0.945838317961)]	[247: f-italian (0.943388256249)]	[119: f-dutch (0.934479303795)]	[181: m-french (0.930316513869)]	[688: m-turkish (0.929879370884)]	[502: f-russian (0.928832770677)]	[356: f-macedonian (0.928352944288)]	[251: f-italian (0.926783947601)]	[14: f-arabic (0.925556268776)]	[534: m-russian (0.924889737834)]	
343: f-macedonian:	[108: f-dutch (0.914371368932)]	[356: f-macedonian (0.912107477098)]	[251: f-italian (0.911185595233)]	[167: f-french (0.910899219818)]	[111: f-dutch (0.909297885933)]	[166: f-french (0.908950876749)]	[94: f-cantonese (0.908762379391)]	[346: f-macedonian (0.908704807912)]	[425: f-polish (0.908122200871)]	[114: f-dutch (0.907102501771)]	
344: f-macedonian:	[415: m-mandarin (0.956413926191)]	[74: m-arabic (0.944997754956)]	[656: m-spanish (0.937771548466)]	[480: m-portuguese (0.936366595279)]	[222: f-german (0.936120015761)]	[632: m-spanish (0.935432108608)]	[440: m-polish (0.935423506759)]	[512: f-russian (0.933794942583)]	[362: m-macedonian (0.932970586047)]	[254: m-italian (0.93296843546)]	
345: f-macedonian:	[346: f-macedonian (0.925768245552)]	[395: f-mandarin (0.921153320042)]	[390: f-mandarin (0.912483439824)]	[347: f-macedonian (0.912208799661)]	[398: f-mandarin (0.909732233557)]	[22: f-arabic (0.906016199734)]	[219: f-german (0.90571733999)]	[117: f-dutch (0.90472125728)]	[280: f-japanese (0.903731473701)]	[282: f-japanese (0.903492346559)]	
346: f-macedonian:	[390: f-mandarin (0.938562160284)]	[344: f-macedonian (0.928523019381)]	[112: f-dutch (0.926616043667)]	[345: f-macedonian (0.925768245552)]	[356: f-macedonian (0.925726830772)]	[572: f-spanish (0.924367196708)]	[415: m-mandarin (0.924169253849)]	[317: f-korean (0.923638431474)]	[281: f-japanese (0.921697549271)]	[425: f-polish (0.920738605177)]	
347: f-macedonian:	[113: f-dutch (0.934815417578)]	[203: m-french (0.932216200837)]	[124: f-dutch (0.930608765281)]	[251: f-italian (0.92663051741)]	[74: m-arabic (0.925570616463)]	[183: m-french (0.921895240873)]	[415: m-mandarin (0.92151947277)]	[344: f-macedonian (0.920466126752)]	[21: f-arabic (0.920363056387)]	[517: f-russian (0.920238452278)]	
348: f-macedonian:	[447: m-polish (0.928322432172)]	[181: m-french (0.928029910464)]	[175: f-french (0.92493515833)]	[117: f-dutch (0.924335353543)]	[520: f-russian (0.924063665452)]	[203: m-french (0.924049363075)]	[251: f-italian (0.923757307141)]	[502: f-russian (0.921978270666)]	[116: f-dutch (0.921363983351)]	[74: m-arabic (0.921037680154)]	
349: f-macedonian:	[219: f-german (0.894457057198)]	[280: f-japanese (0.888179308722)]	[564: f-spanish (0.877746889671)]	[141: m-dutch (0.871061097336)]	[371: f-mandarin (0.870158147689)]	[547: f-spanish (0.867493375602)]	[684: f-turkish (0.863771831178)]	[347: f-macedonian (0.863603853676)]	[373: f-mandarin (0.862141278882)]	[401: m-mandarin (0.859887422843)]	
350: f-macedonian:	[592: f-spanish (0.928004215516)]	[74: m-arabic (0.911626244236)]	[203: m-french (0.910662644072)]	[347: f-macedonian (0.909150909996)]	[254: m-italian (0.907241685426)]	[124: f-dutch (0.90591360473)]	[433: f-polish (0.90562389631)]	[86: f-cantonese (0.905188714247)]	[251: f-italian (0.904417050466)]	[353: f-macedonian (0.904285850547)]	
351: f-macedonian:	[181: m-french (0.927990560934)]	[347: f-macedonian (0.916461800497)]	[515: f-russian (0.91520145351)]	[183: m-french (0.913755431874)]	[282: f-japanese (0.913608069867)]	[390: f-mandarin (0.912870768462)]	[108: f-dutch (0.911233579886)]	[422: f-polish (0.91088598079)]	[346: f-macedonian (0.91030644706)]	[119: f-dutch (0.90914856873)]	
352: f-macedonian:	[279: f-japanese (0.918983628277)]	[395: f-mandarin (0.918833506702)]	[317: f-korean (0.914372768464)]	[348: f-macedonian (0.913880011859)]	[181: m-french (0.911025154269)]	[652: m-spanish (0.910701956773)]	[457: f-portuguese (0.905226192331)]	[447: m-polish (0.905169462819)]	[356: f-macedonian (0.905008600027)]	[157: f-french (0.90369444501)]	
353: f-macedonian:	[112: f-dutch (0.93924005247)]	[93: f-cantonese (0.927931462846)]	[21: f-arabic (0.926271151036)]	[543: f-spanish (0.923260484416)]	[91: f-cantonese (0.922110808044)]	[281: f-japanese (0.918325903921)]	[166: f-french (0.916680388638)]	[108: f-dutch (0.915440178995)]	[130: f-dutch (0.914925188614)]	[113: f-dutch (0.91438655653)]	
354: f-macedonian:	[109: f-dutch (0.890967262903)]	[138: m-dutch (0.889111669345)]	[149: m-dutch (0.888662191047)]	[96: m-cantonese (0.886830535503)]	[534: m-russian (0.886415129673)]	[347: f-macedonian (0.884088916561)]	[447: m-polish (0.883570087971)]	[123: f-dutch (0.881673728682)]	[577: f-spanish (0.881208341995)]	[187: m-french (0.880284242512)]	
355: f-macedonian:	[22: f-arabic (0.88297308409)]	[348: f-macedonian (0.881229729142)]	[352: f-macedonian (0.881103685241)]	[263: m-italian (0.879936335111)]	[96: m-cantonese (0.873760079752)]	[498: f-russian (0.873507972641)]	[81: m-arabic (0.87320673355)]	[395: f-mandarin (0.872897492446)]	[280: f-japanese (0.872713087552)]	[356: f-macedonian (0.871743649723)]	
356: f-macedonian:	[181: m-french (0.937857430748)]	[6: f-arabic (0.930563281734)]	[520: f-russian (0.930364230007)]	[502: f-russian (0.930222383775)]	[682: f-turkish (0.930201846077)]	[517: f-russian (0.93008010577)]	[534: m-russian (0.929344176876)]	[342: f-macedonian (0.928352944288)]	[108: f-dutch (0.927561211144)]	[247: f-italian (0.927446924208)]	
357: f-macedonian:	[308: f-korean (0.924702455455)]	[157: f-french (0.923732101428)]	[108: f-dutch (0.92372080489)]	[181: m-french (0.921990151227)]	[520: f-russian (0.921504710157)]	[203: m-french (0.920876381662)]	[573: f-spanish (0.920775040435)]	[415: m-mandarin (0.920474243717)]	[94: f-cantonese (0.919919307123)]	[130: f-dutch (0.91991595172)]	
358: m-macedonian:	[294: m-japanese (0.819247039665)]	[478: m-portuguese (0.816576615879)]	[598: m-spanish (0.810376076342)]	[628: m-spanish (0.800899713298)]	[57: m-arabic (0.800305204952)]	[634: m-spanish (0.794958540728)]	[657: m-spanish (0.794018487962)]	[30: m-arabic (0.788980905468)]	[146: m-dutch (0.787804029337)]	[666: m-spanish (0.787172362795)]	
359: m-macedonian:	[310: f-korean (0.83260450997)]	[535: m-russian (0.81014995733)]	[664: m-spanish (0.809091749703)]	[61: m-arabic (0.808711582441)]	[200: m-french (0.807725240735)]	[103: m-cantonese (0.805443820078)]	[361: m-macedonian (0.803240614391)]	[600: m-spanish (0.80287105918)]	[240: m-german (0.802414408503)]	[186: m-french (0.796044420875)]	
360: m-macedonian:	[75: m-arabic (0.854293140335)]	[144: m-dutch (0.830664786496)]	[57: m-arabic (0.824197271592)]	[30: m-arabic (0.823171046484)]	[634: m-spanish (0.821861495561)]	[29: m-arabic (0.820159806642)]	[694: m-turkish (0.81374719169)]	[598: m-spanish (0.811226837623)]	[252: m-italian (0.805393049481)]	[602: m-spanish (0.804962403191)]	
361: m-macedonian:	[23: f-arabic (0.833391730282)]	[377: f-mandarin (0.8331980988)]	[61: m-arabic (0.816945933168)]	[504: f-russian (0.815627157268)]	[364: m-macedonian (0.813392496688)]	[177: f-french (0.808402065289)]	[664: m-spanish (0.803309722637)]	[359: m-macedonian (0.803240614391)]	[442: m-polish (0.799302870268)]	[68: m-arabic (0.7987713188)]	
362: m-macedonian:	[656: m-spanish (0.987246284179)]	[328: m-korean (0.981399773907)]	[242: m-german (0.979061268472)]	[243: m-german (0.978412541495)]	[100: m-cantonese (0.978015441625)]	[440: m-polish (0.97715774074)]	[231: m-german (0.975061962248)]	[255: m-italian (0.972880909155)]	[74: m-arabic (0.971460457876)]	[690: m-turkish (0.970934682964)]	
363: m-macedonian:	[577: f-spanish (0.899652528725)]	[599: m-spanish (0.887645730012)]	[425: f-polish (0.885181955088)]	[251: f-italian (0.884940931328)]	[687: f-turkish (0.883253092779)]	[282: f-japanese (0.883029980535)]	[81: m-arabic (0.878354877986)]	[544: f-spanish (0.875767842232)]	[181: m-french (0.874733017937)]	[172: f-french (0.874594743811)]	
364: m-macedonian:	[37: m-arabic (0.871864268358)]	[655: m-spanish (0.862537742518)]	[365: m-macedonian (0.853440431147)]	[244: f-italian (0.850868067463)]	[677: f-turkish (0.847267046433)]	[409: m-mandarin (0.844757596634)]	[664: m-spanish (0.84350455279)]	[473: m-portuguese (0.843072455193)]	[588: f-spanish (0.842928499315)]	[595: f-spanish (0.842550757979)]	
365: m-macedonian:	[535: m-russian (0.872326386761)]	[606: m-spanish (0.869012692479)]	[663: m-spanish (0.858195100113)]	[246: f-italian (0.856188941765)]	[364: m-macedonian (0.853440431147)]	[550: f-spanish (0.850266531737)]	[50: m-arabic (0.849493849798)]	[698: m-turkish (0.847315499934)]	[73: m-arabic (0.843630030255)]	[689: m-turkish (0.842146056254)]	
366: f-mandarin:	[551: f-spanish (0.90447647855)]	[191: m-french (0.90206424488)]	[528: m-russian (0.89845218886)]	[398: f-mandarin (0.897729549826)]	[593: f-spanish (0.897721285533)]	[181: m-french (0.897480178142)]	[244: f-italian (0.894667545702)]	[88: f-cantonese (0.894048751975)]	[1: f-arabic (0.893862584849)]	[108: f-dutch (0.891318016193)]	
367: f-mandarin:	[662: m-spanish (0.906889233179)]	[370: f-mandarin (0.901163858493)]	[228: f-german (0.895611439038)]	[342: f-macedonian (0.89492891877)]	[280: f-japanese (0.89425089245)]	[564: f-spanish (0.891540674989)]	[588: f-spanish (0.891357908848)]	[88: f-cantonese (0.889506217095)]	[356: f-macedonian (0.889025146651)]	[214: f-german (0.888237625699)]	
368: f-mandarin:	[167: f-french (0.881391126517)]	[81: m-arabic (0.877635598696)]	[88: f-cantonese (0.876902746072)]	[468: f-portuguese (0.874870640546)]	[595: f-spanish (0.871122760752)]	[251: f-italian (0.869063302031)]	[275: f-japanese (0.866646160828)]	[398: f-mandarin (0.866303924273)]	[104: f-dutch (0.864431557567)]	[588: f-spanish (0.862377925643)]	
369: f-mandarin:	[309: f-korean (0.850002526006)]	[565: f-spanish (0.831375763449)]	[193: m-french (0.827515052318)]	[26: f-arabic (0.827024358348)]	[373: f-mandarin (0.826531120692)]	[560: f-spanish (0.826037267795)]	[585: f-spanish (0.825515193639)]	[473: m-portuguese (0.824719255084)]	[375: f-mandarin (0.824340700128)]	[551: f-spanish (0.822372282623)]	
370: f-mandarin:	[123: f-dutch (0.920587598308)]	[425: f-polish (0.915189241368)]	[88: f-cantonese (0.910213913214)]	[251: f-italian (0.909659335246)]	[130: f-dutch (0.909564746387)]	[398: f-mandarin (0.906338492053)]	[172: f-french (0.901540877571)]	[367: f-mandarin (0.901163858493)]	[28: f-arabic (0.900481804939)]	[94: f-cantonese (0.899853016314)]	
371: f-mandarin:	[564: f-spanish (0.924520786081)]	[502: f-russian (0.910261450752)]	[219: f-german (0.908844405084)]	[117: f-dutch (0.908046546885)]	[251: f-italian (0.903151060918)]	[14: f-arabic (0.901331300505)]	[684: f-turkish (0.90007852345)]	[181: m-french (0.898422042741)]	[342: f-macedonian (0.895916523364)]	[157: f-french (0.895631313654)]	
372: f-mandarin:	[392: f-mandarin (0.901388344136)]	[28: f-arabic (0.901331301632)]	[219: f-german (0.88332141507)]	[699: m-turkish (0.878838622507)]	[201: m-french (0.875977894452)]	[662: m-spanish (0.871655234916)]	[409: m-mandarin (0.871103589061)]	[11: f-arabic (0.870263297679)]	[397: f-mandarin (0.869544206211)]	[37: m-arabic (0.868929584849)]	
373: f-mandarin:	[551: f-spanish (0.895177848934)]	[507: f-russian (0.891540810761)]	[309: f-korean (0.878082536398)]	[426: f-polish (0.876004262546)]	[509: f-russian (0.87587694655)]	[43: m-arabic (0.874752126584)]	[515: f-russian (0.87255624287)]	[270: m-italian (0.870856205992)]	[265: m-italian (0.870688280968)]	[570: f-spanish (0.868837723331)]	
374: f-mandarin:	[514: f-russian (0.889176448022)]	[162: f-french (0.88340069717)]	[398: f-mandarin (0.87793123025)]	[280: f-japanese (0.875504996235)]	[557: f-spanish (0.874362562397)]	[401: m-mandarin (0.871314494508)]	[309: f-korean (0.869598674504)]	[304: f-korean (0.86788185506)]	[159: f-french (0.867785535445)]	[156: f-french (0.867257255375)]	
375: f-mandarin:	[570: f-spanish (0.88685105492)]	[492: m-portuguese (0.874950340173)]	[601: m-spanish (0.874154012517)]	[514: f-russian (0.871166515001)]	[571: f-spanish (0.866350847202)]	[557: f-spanish (0.862104553995)]	[41: m-arabic (0.861257380591)]	[578: f-spanish (0.861209549192)]	[384: f-mandarin (0.861129354436)]	[37: m-arabic (0.86005946158)]	
376: f-mandarin:	[282: f-japanese (0.922891761789)]	[451: m-polish (0.919564316517)]	[356: f-macedonian (0.916918612582)]	[534: m-russian (0.916851999254)]	[181: m-french (0.916726305995)]	[502: f-russian (0.916700185825)]	[108: f-dutch (0.9141559919)]	[286: f-japanese (0.914125946234)]	[392: f-mandarin (0.909878012804)]	[164: f-french (0.909596985138)]	
377: f-mandarin:	[492: m-portuguese (0.880614990645)]	[473: m-portuguese (0.868150734383)]	[280: f-japanese (0.864268567731)]	[570: f-spanish (0.862827904625)]	[77: m-arabic (0.86175019387)]	[201: m-french (0.861577457697)]	[438: m-polish (0.857684179135)]	[375: f-mandarin (0.852577263591)]	[277: f-japanese (0.852155718)]	[237: m-german (0.851064137037)]	
378: f-mandarin:	[465: f-portuguese (0.882939533789)]	[564: f-spanish (0.868374692819)]	[558: f-spanish (0.861010433822)]	[462: f-portuguese (0.858634915442)]	[557: f-spanish (0.856079114243)]	[155: f-french (0.849312753717)]	[570: f-spanish (0.848728152491)]	[169: f-french (0.847645907081)]	[162: f-french (0.8472933533)]	[371: f-mandarin (0.847043407731)]	
379: f-mandarin:	[120: f-dutch (0.90345231397)]	[402: m-mandarin (0.903374159082)]	[433: f-polish (0.90145317665)]	[180: m-french (0.90049996743)]	[468: f-portuguese (0.899168583368)]	[688: m-turkish (0.897998485863)]	[21: f-arabic (0.897964942289)]	[686: f-turkish (0.897529179332)]	[599: m-spanish (0.896004166472)]	[218: f-german (0.895785685202)]	
380: f-mandarin:	[227: f-german (0.898465254235)]	[108: f-dutch (0.891532128492)]	[515: f-russian (0.890396083025)]	[280: f-japanese (0.887105270549)]	[426: f-polish (0.885246961775)]	[342: f-macedonian (0.883782692867)]	[181: m-french (0.883246109737)]	[124: f-dutch (0.88302377301)]	[468: f-portuguese (0.880623112444)]	[564: f-spanish (0.880561264273)]	
381: f-mandarin:	[345: f-macedonian (0.900596521776)]	[502: f-russian (0.889271921614)]	[218: f-german (0.882379666812)]	[557: f-spanish (0.880302783663)]	[684: f-turkish (0.879858559325)]	[570: f-spanish (0.878524042299)]	[17: f-arabic (0.878324621412)]	[398: f-mandarin (0.875980569401)]	[287: f-japanese (0.875230481375)]	[305: f-korean (0.874884266679)]	
382: f-mandarin:	[282: f-japanese (0.905269590586)]	[502: f-russian (0.90238206506)]	[688: m-turkish (0.897440296189)]	[116: f-dutch (0.895579444433)]	[568: f-spanish (0.895259456482)]	[356: f-macedonian (0.892777589727)]	[376: f-mandarin (0.888074684758)]	[249: f-italian (0.887340010529)]	[251: f-italian (0.887181646377)]	[392: f-mandarin (0.887142732816)]	
383: f-mandarin:	[511: f-russian (0.901911626704)]	[425: f-polish (0.89664530982)]	[579: f-spanish (0.89470041473)]	[370: f-mandarin (0.891861697851)]	[163: f-french (0.891071204564)]	[123: f-dutch (0.886151757014)]	[94: f-cantonese (0.885289112743)]	[398: f-mandarin (0.884405014888)]	[129: f-dutch (0.883701845689)]	[28: f-arabic (0.882395612763)]	
384: f-mandarin:	[570: f-spanish (0.869886043038)]	[168: f-french (0.869590504948)]	[280: f-japanese (0.865792768706)]	[375: f-mandarin (0.861129354436)]	[464: f-portuguese (0.85975267426)]	[309: f-korean (0.857334443305)]	[429: f-polish (0.857155950642)]	[673: m-spanish (0.854541632955)]	[620: m-spanish (0.853771447105)]	[278: f-japanese (0.853061027282)]	
385: f-mandarin:	[280: f-japanese (0.867585142142)]	[424: f-polish (0.863328752644)]	[37: m-arabic (0.862351469904)]	[670: m-spanish (0.855508474715)]	[138: m-dutch (0.851504399383)]	[224: f-german (0.851133618554)]	[613: m-spanish (0.850326244695)]	[246: f-italian (0.849457129693)]	[274: f-japanese (0.848214619895)]	[375: f-mandarin (0.846990349047)]	
386: f-mandarin:	[275: f-japanese (0.876435061285)]	[92: f-cantonese (0.876302734113)]	[408: m-mandarin (0.868743620379)]	[309: f-korean (0.863659305517)]	[310: f-korean (0.862190793003)]	[280: f-japanese (0.860933281748)]	[299: f-korean (0.859600702291)]	[96: m-cantonese (0.858810842998)]	[217: f-german (0.858474280813)]	[138: m-dutch (0.857786293373)]	
387: f-mandarin:	[169: f-french (0.886755526695)]	[590: f-spanish (0.880760820928)]	[130: f-dutch (0.880053242061)]	[593: f-spanish (0.877453156785)]	[398: f-mandarin (0.874923734442)]	[366: f-mandarin (0.873920742159)]	[220: f-german (0.873576843519)]	[88: f-cantonese (0.872790335442)]	[431: f-polish (0.872019999461)]	[564: f-spanish (0.871989518804)]	
388: f-mandarin:	[265: m-italian (0.868586060873)]	[588: f-spanish (0.859452141801)]	[0: f-arabic (0.85486436092)]	[246: f-italian (0.853729931915)]	[318: f-korean (0.850086927445)]	[142: m-dutch (0.848150973197)]	[458: f-portuguese (0.842056094064)]	[673: m-spanish (0.840685922494)]	[278: f-japanese (0.839798563632)]	[173: f-french (0.836042657972)]	
389: f-mandarin:	[310: f-korean (0.854073855618)]	[384: f-mandarin (0.852125856018)]	[280: f-japanese (0.850737612273)]	[504: f-russian (0.850266300131)]	[284: f-japanese (0.849149068196)]	[24: f-arabic (0.840579133574)]	[625: m-spanish (0.838239218365)]	[283: f-japanese (0.837813235506)]	[30: m-arabic (0.837583839586)]	[332: m-korean (0.836918339187)]	
390: f-mandarin:	[346: f-macedonian (0.938562160284)]	[17: f-arabic (0.932643014504)]	[183: m-french (0.931087388507)]	[317: f-korean (0.929091910003)]	[468: f-portuguese (0.922889904442)]	[682: f-turkish (0.922862106806)]	[112: f-dutch (0.921793414705)]	[683: f-turkish (0.921575851042)]	[14: f-arabic (0.92085948766)]	[286: f-japanese (0.920015634374)]	
391: f-mandarin:	[553: f-spanish (0.881147114329)]	[398: f-mandarin (0.878495329421)]	[245: f-italian (0.878422550604)]	[470: f-portuguese (0.877084326038)]	[366: f-mandarin (0.874866041831)]	[138: m-dutch (0.874791692141)]	[310: f-korean (0.874453067449)]	[564: f-spanish (0.868222134892)]	[315: f-korean (0.86671500286)]	[280: f-japanese (0.863618562642)]	
392: f-mandarin:	[164: f-french (0.925625254232)]	[171: f-french (0.925434061324)]	[28: f-arabic (0.92034815611)]	[356: f-macedonian (0.919530492167)]	[21: f-arabic (0.914189394723)]	[219: f-german (0.913371596274)]	[428: f-polish (0.912717984707)]	[111: f-dutch (0.911161006529)]	[187: m-french (0.910246172637)]	[376: f-mandarin (0.909878012804)]	
393: f-mandarin:	[473: m-portuguese (0.860679340744)]	[499: f-russian (0.850838334207)]	[477: m-portuguese (0.842995073039)]	[37: m-arabic (0.836563549844)]	[610: m-spanish (0.833533002702)]	[40: m-arabic (0.832877017735)]	[356: f-macedonian (0.829179802697)]	[190: m-french (0.827907066671)]	[551: f-spanish (0.826486323792)]	[60: m-arabic (0.825715533538)]	
394: f-mandarin:	[554: f-spanish (0.925116278378)]	[593: f-spanish (0.913277452386)]	[307: f-korean (0.909919722955)]	[251: f-italian (0.908537438961)]	[130: f-dutch (0.905939637542)]	[123: f-dutch (0.905268395876)]	[552: f-spanish (0.904807267539)]	[88: f-cantonese (0.901106770359)]	[344: f-macedonian (0.900222756373)]	[180: m-french (0.89838340784)]	
395: f-mandarin:	[356: f-macedonian (0.925964845717)]	[682: f-turkish (0.925666478409)]	[317: f-korean (0.923951953925)]	[279: f-japanese (0.923263447213)]	[203: m-french (0.922517194191)]	[652: m-spanish (0.922073683835)]	[345: f-macedonian (0.921153320042)]	[687: f-turkish (0.920866471077)]	[415: m-mandarin (0.920478316258)]	[344: f-macedonian (0.91944692399)]	
396: f-mandarin:	[251: f-italian (0.929057566297)]	[112: f-dutch (0.924533796149)]	[21: f-arabic (0.921850109351)]	[512: f-russian (0.920388086187)]	[572: f-spanish (0.919520558253)]	[223: f-german (0.917932791639)]	[564: f-spanish (0.917147676966)]	[543: f-spanish (0.916064038983)]	[116: f-dutch (0.915330260759)]	[682: f-turkish (0.913971642316)]	
397: f-mandarin:	[593: f-spanish (0.920517008256)]	[28: f-arabic (0.91444759402)]	[552: f-spanish (0.912301948307)]	[427: f-polish (0.911590748567)]	[334: m-korean (0.904296461356)]	[88: f-cantonese (0.903642804441)]	[591: f-spanish (0.903524433178)]	[595: f-spanish (0.901814264941)]	[343: f-macedonian (0.901182828076)]	[564: f-spanish (0.900269524077)]	
398: f-mandarin:	[425: f-polish (0.934876387719)]	[564: f-spanish (0.922676063259)]	[687: f-turkish (0.921450269021)]	[463: f-portuguese (0.91820142659)]	[2: f-arabic (0.91427250386)]	[17: f-arabic (0.91142895837)]	[427: f-polish (0.910938022497)]	[251: f-italian (0.910354818509)]	[88: f-cantonese (0.909986386727)]	[345: f-macedonian (0.909732233557)]	
399: f-mandarin:	[356: f-macedonian (0.901265853498)]	[554: f-spanish (0.889616559007)]	[428: f-polish (0.887635651323)]	[451: m-polish (0.880829790451)]	[595: f-spanish (0.880812572795)]	[591: f-spanish (0.879592691942)]	[164: f-french (0.879407848271)]	[432: f-polish (0.877476917558)]	[593: f-spanish (0.877354522526)]	[81: m-arabic (0.87719776173)]	
400: m-mandarin:	[669: m-spanish (0.84875743812)]	[198: m-french (0.835637574927)]	[30: m-arabic (0.825216093889)]	[693: m-turkish (0.821557192809)]	[647: m-spanish (0.818910354478)]	[294: m-japanese (0.817414033343)]	[605: m-spanish (0.816091710679)]	[146: m-dutch (0.809351508128)]	[474: m-portuguese (0.807275058038)]	[493: m-portuguese (0.804985228899)]	
401: m-mandarin:	[280: f-japanese (0.889415771372)]	[162: f-french (0.888354616648)]	[109: f-dutch (0.885315917473)]	[443: m-polish (0.881807128562)]	[48: m-arabic (0.880846364468)]	[398: f-mandarin (0.88033911459)]	[13: f-arabic (0.879458705188)]	[293: m-japanese (0.87835528461)]	[159: f-french (0.877489587039)]	[117: f-dutch (0.875860535474)]	
402: m-mandarin:	[564: f-spanish (0.93194228291)]	[517: f-russian (0.929839661244)]	[108: f-dutch (0.925893032674)]	[686: f-turkish (0.925007049065)]	[682: f-turkish (0.924859100208)]	[430: f-polish (0.924134013146)]	[157: f-french (0.924000570454)]	[688: m-turkish (0.923256155801)]	[356: f-macedonian (0.92298630906)]	[247: f-italian (0.920384074269)]	
403: m-mandarin:	[273: m-italian (0.849956609555)]	[697: m-turkish (0.831413172623)]	[689: m-turkish (0.831049345666)]	[413: m-mandarin (0.830515475957)]	[628: m-spanish (0.828128345191)]	[446: m-polish (0.826614992966)]	[34: m-arabic (0.821354226123)]	[418: m-mandarin (0.817410878432)]	[230: m-german (0.816548124929)]	[550: f-spanish (0.816528496576)]	
404: m-mandarin:	[207: m-french (0.828237290943)]	[29: m-arabic (0.809056038228)]	[598: m-spanish (0.799352889899)]	[66: m-arabic (0.792202877929)]	[241: m-german (0.791854850397)]	[240: m-german (0.791226970615)]	[325: m-korean (0.790775182566)]	[50: m-arabic (0.789809532874)]	[698: m-turkish (0.789780785816)]	[669: m-spanish (0.789372624805)]	
405: m-mandarin:	[166: f-french (0.906676698303)]	[123: f-dutch (0.899635383247)]	[398: f-mandarin (0.895592063119)]	[111: f-dutch (0.894239186635)]	[94: f-cantonese (0.894147136408)]	[599: m-spanish (0.89076193528)]	[37: m-arabic (0.890230867901)]	[593: f-spanish (0.889950294916)]	[515: f-russian (0.889942346286)]	[528: m-russian (0.888654576339)]	
406: m-mandarin:	[473: m-portuguese (0.82224257241)]	[35: m-arabic (0.815910079887)]	[51: m-arabic (0.810471035196)]	[673: m-spanish (0.804695668811)]	[20: f-arabic (0.804344295493)]	[409: m-mandarin (0.80322227791)]	[364: m-macedonian (0.800531719177)]	[689: m-turkish (0.799749848199)]	[417: m-mandarin (0.796256772904)]	[614: m-spanish (0.796179421574)]	
407: m-mandarin:	[54: m-arabic (0.845488724553)]	[418: m-mandarin (0.842284225921)]	[606: m-spanish (0.833037956708)]	[538: m-russian (0.832598496009)]	[663: m-spanish (0.830751101924)]	[411: m-mandarin (0.827182775875)]	[134: m-dutch (0.826807810805)]	[565: f-spanish (0.825173113917)]	[689: m-turkish (0.824841492703)]	[445: m-polish (0.82468331488)]	
408: m-mandarin:	[40: m-arabic (0.908125396516)]	[466: f-portuguese (0.885394381202)]	[275: f-japanese (0.885233716354)]	[662: m-spanish (0.880002501755)]	[96: m-cantonese (0.875331007938)]	[214: f-german (0.874875275878)]	[386: f-mandarin (0.868743620379)]	[498: f-russian (0.867980834452)]	[367: f-mandarin (0.866645889749)]	[3: f-arabic (0.86598887263)]	
409: m-mandarin:	[245: f-italian (0.88235059973)]	[215: f-german (0.878878471655)]	[473: m-portuguese (0.876808894075)]	[28: f-arabic (0.872148306726)]	[547: f-spanish (0.872039685838)]	[397: f-mandarin (0.871260107925)]	[372: f-mandarin (0.871103589061)]	[513: f-russian (0.870161365)]	[442: m-polish (0.869137733935)]	[699: m-turkish (0.864952807059)]	
